,county,date,new_cases,new_deaths
0,Santa Clara,2020-03-18,151,6
1,Santa Clara,2020-03-19,32,2
2,Santa Clara,2020-03-20,63,0
3,Santa Clara,2020-03-21,23,2
4,Santa Clara,2020-03-22,15,3
5,Santa Clara,2020-03-23,52,0
6,Santa Clara,2020-03-24,53,4
7,Santa Clara,2020-03-25,63,3
8,Santa Clara,2020-03-26,35,0
9,Santa Clara,2020-03-27,70,5
10,Santa Clara,2020-03-28,30,2
11,Santa Clara,2020-03-29,4,3
12,Santa Clara,2020-03-30,154,1
13,Santa Clara,2020-03-31,32,-1
14,Santa Clara,2020-04-01,28,3
15,Santa Clara,2020-04-02,103,5
16,Santa Clara,2020-04-03,75,1
17,Santa Clara,2020-04-04,62,0
18,Santa Clara,2020-04-05,7,3
19,Santa Clara,2020-04-06,76,1
20,Santa Clara,2020-04-07,65,3
21,Santa Clara,2020-04-08,64,1
22,Santa Clara,2020-04-09,44,2
23,Santa Clara,2020-04-10,50,3
24,Santa Clara,2020-04-11,90,0
25,Santa Clara,2020-04-12,20,1
26,Santa Clara,2020-04-13,81,7
27,Santa Clara,2020-04-14,19,6
28,Santa Clara,2020-04-15,131,0
29,Santa Clara,2020-04-16,97,3
30,Santa Clara,2020-04-17,45,4
31,Santa Clara,2020-04-18,28,0
32,Santa Clara,2020-04-19,16,6
33,Santa Clara,2020-04-20,42,4
34,Santa Clara,2020-04-21,23,5
35,Santa Clara,2020-04-22,26,6
36,Santa Clara,2020-04-23,27,1
37,Santa Clara,2020-04-24,30,3
38,Santa Clara,2020-04-25,19,1
39,Santa Clara,2020-04-26,52,3
40,Santa Clara,2020-04-27,7,3
41,Santa Clara,2020-04-28,26,1
42,Santa Clara,2020-04-29,17,2
43,Santa Clara,2020-04-30,25,3
44,Santa Clara,2020-05-01,4,2
45,Santa Clara,2020-05-02,27,2
46,Santa Clara,2020-05-03,32,1
47,Santa Clara,2020-05-04,3,3
48,Santa Clara,2020-05-05,11,4
49,Santa Clara,2020-05-06,21,3
50,Santa Clara,2020-05-07,11,1
51,Santa Clara,2020-05-08,4,3
52,Santa Clara,2020-05-09,32,0
53,Santa Clara,2020-05-10,14,0
54,Santa Clara,2020-05-11,9,3
55,Santa Clara,2020-05-12,22,0
56,Santa Clara,2020-05-13,8,2
57,Santa Clara,2020-05-14,10,0
58,Santa Clara,2020-05-15,15,1
59,Santa Clara,2020-05-16,25,0
60,Santa Clara,2020-05-17,33,0
61,Santa Clara,2020-05-18,15,0
62,Santa Clara,2020-05-19,12,3
63,Santa Clara,2020-05-20,28,0
64,Santa Clara,2020-05-21,12,0
65,Santa Clara,2020-05-22,17,0
66,Santa Clara,2020-05-23,56,0
67,Santa Clara,2020-05-24,30,0
68,Santa Clara,2020-05-25,24,1
69,Santa Clara,2020-05-26,12,0
70,Santa Clara,2020-05-27,21,1
71,Santa Clara,2020-05-28,18,0
72,Santa Clara,2020-05-29,9,0
73,Santa Clara,2020-05-30,34,0
74,Santa Clara,2020-05-31,44,3
75,Santa Clara,2020-06-01,12,0
76,Santa Clara,2020-06-02,22,0
77,Santa Clara,2020-06-03,17,0
78,Santa Clara,2020-06-04,35,0
79,Santa Clara,2020-06-05,31,0
80,Santa Clara,2020-06-06,32,0
81,Santa Clara,2020-06-07,13,0
82,Santa Clara,2020-06-08,24,5
83,Santa Clara,2020-06-09,35,0
84,Santa Clara,2020-06-10,26,0
85,Santa Clara,2020-06-11,17,0
86,Santa Clara,2020-06-12,50,1
87,Santa Clara,2020-06-13,42,0
88,Santa Clara,2020-06-14,37,1
89,Santa Clara,2020-06-15,26,1
90,Santa Clara,2020-06-16,24,0
91,Santa Clara,2020-06-17,36,0
92,Santa Clara,2020-06-18,74,0
93,Santa Clara,2020-06-19,38,0
94,Santa Clara,2020-06-20,59,2
95,Santa Clara,2020-06-21,79,0
96,Santa Clara,2020-06-22,66,0
97,Santa Clara,2020-06-23,120,1
98,Santa Clara,2020-06-24,112,0
99,Santa Clara,2020-06-25,71,0
100,Santa Clara,2020-06-26,102,0
101,Santa Clara,2020-06-27,58,0
102,Santa Clara,2020-06-28,150,0
103,Santa Clara,2020-06-29,179,1
104,Santa Clara,2020-06-30,104,1
105,Santa Clara,2020-07-01,69,1
106,Santa Clara,2020-07-02,177,1
107,Santa Clara,2020-07-03,98,1
108,Santa Clara,2020-07-04,225,0
109,Santa Clara,2020-07-05,192,1
110,Santa Clara,2020-07-06,132,3
111,Santa Clara,2020-07-07,69,1
112,Santa Clara,2020-07-08,72,0
113,Santa Clara,2020-07-09,128,1
114,Santa Clara,2020-07-10,181,0
115,Santa Clara,2020-07-11,140,0
116,Santa Clara,2020-07-12,293,0
117,Santa Clara,2020-07-13,236,1
118,Santa Clara,2020-07-14,198,3
119,Santa Clara,2020-07-15,214,3
120,Santa Clara,2020-07-16,90,3
121,Santa Clara,2020-07-17,90,1
122,Santa Clara,2020-07-18,175,0
123,Santa Clara,2020-07-19,148,0
124,Santa Clara,2020-07-20,308,1
125,Santa Clara,2020-07-21,278,0
126,Santa Clara,2020-07-22,277,2
127,Santa Clara,2020-07-23,192,1
128,Santa Clara,2020-07-24,200,2
129,Santa Clara,2020-07-25,109,1
130,Santa Clara,2020-07-26,219,0
131,Santa Clara,2020-07-27,171,0
132,Santa Clara,2020-07-28,150,1
133,Santa Clara,2020-07-29,260,2
134,Santa Clara,2020-07-30,141,3
135,Santa Clara,2020-07-31,155,1
136,Santa Clara,2020-08-01,418,0
137,Santa Clara,2020-08-02,296,0
138,Santa Clara,2020-08-03,170,0
139,Santa Clara,2020-08-04,239,1
140,Santa Clara,2020-08-05,88,4
141,Santa Clara,2020-08-06,206,0
142,Santa Clara,2020-08-07,129,7
143,Santa Clara,2020-08-08,206,1
144,Santa Clara,2020-08-09,263,1
145,Santa Clara,2020-08-10,737,0
146,Santa Clara,2020-08-11,305,2
147,Santa Clara,2020-08-12,82,0
148,Santa Clara,2020-08-13,255,1
149,Santa Clara,2020-08-14,528,0
150,Santa Clara,2020-08-15,320,1
151,Santa Clara,2020-08-16,224,0
152,Santa Clara,2020-08-17,217,0
153,Santa Clara,2020-08-18,240,4
154,Santa Clara,2020-08-19,208,3
155,Santa Clara,2020-08-20,168,1
156,Santa Clara,2020-08-21,237,5
157,Santa Clara,2020-08-22,191,2
158,Santa Clara,2020-08-23,322,0
159,Santa Clara,2020-08-24,137,0
160,Santa Clara,2020-08-25,150,9
161,Santa Clara,2020-08-26,84,4
162,Santa Clara,2020-08-27,212,3
163,Santa Clara,2020-08-28,201,5
164,Santa Clara,2020-08-29,202,-1
165,Santa Clara,2020-08-30,147,0
166,Santa Clara,2020-08-31,166,0
167,Santa Clara,2020-09-01,108,4
168,Santa Clara,2020-09-02,354,2
169,Santa Clara,2020-09-03,206,3
170,Santa Clara,2020-09-04,195,1
171,Santa Clara,2020-09-05,237,3
172,Santa Clara,2020-09-06,184,3
173,Santa Clara,2020-09-07,101,0
174,Santa Clara,2020-09-08,49,0
175,Santa Clara,2020-09-09,114,3
176,Santa Clara,2020-09-10,111,0
177,Santa Clara,2020-09-11,195,13
178,Santa Clara,2020-09-12,265,4
179,Santa Clara,2020-09-13,126,3
180,Santa Clara,2020-09-14,89,0
181,Santa Clara,2020-09-15,65,4
182,Santa Clara,2020-09-16,74,6
183,Santa Clara,2020-09-17,141,2
184,Santa Clara,2020-09-18,233,0
185,Santa Clara,2020-09-19,112,1
186,Santa Clara,2020-09-20,160,0
187,Santa Clara,2020-09-21,102,1
188,Santa Clara,2020-09-22,82,2
189,Santa Clara,2020-09-23,61,1
190,Santa Clara,2020-09-24,114,4
191,Santa Clara,2020-09-25,123,2
192,Santa Clara,2020-09-26,155,5
193,Santa Clara,2020-09-27,124,1
194,Santa Clara,2020-09-28,89,2
195,Santa Clara,2020-09-29,53,4
196,Santa Clara,2020-09-30,85,4
197,Santa Clara,2020-10-01,80,3
198,Santa Clara,2020-10-02,147,5
199,Santa Clara,2020-10-03,127,3
200,Santa Clara,2020-10-04,108,11
201,Santa Clara,2020-10-05,81,1
202,Santa Clara,2020-10-06,53,2
203,Santa Clara,2020-10-07,79,6
204,Santa Clara,2020-10-08,102,1
205,Santa Clara,2020-10-09,156,3
206,Santa Clara,2020-10-10,103,0
207,Santa Clara,2020-10-11,133,0
208,Santa Clara,2020-10-12,91,5
209,Santa Clara,2020-10-13,100,1
210,Santa Clara,2020-10-14,57,0
211,Santa Clara,2020-10-15,73,4
212,Santa Clara,2020-10-16,112,6
213,Santa Clara,2020-10-17,77,0
214,Santa Clara,2020-10-18,172,0
215,Santa Clara,2020-10-19,132,5
216,Santa Clara,2020-10-20,105,4
217,Santa Clara,2020-10-21,131,3
218,Santa Clara,2020-10-22,84,0
219,Santa Clara,2020-10-23,201,3
220,Santa Clara,2020-10-24,156,0
221,Santa Clara,2020-10-25,109,0
222,Santa Clara,2020-10-26,171,0
223,Santa Clara,2020-10-27,110,4
224,Santa Clara,2020-10-28,135,10
225,Santa Clara,2020-10-29,111,2
226,Santa Clara,2020-10-30,197,2
227,Santa Clara,2020-10-31,146,0
228,Santa Clara,2020-11-01,133,0
229,Santa Clara,2020-11-02,132,0
230,Santa Clara,2020-11-03,164,6
231,Santa Clara,2020-11-04,101,9
232,Santa Clara,2020-11-05,164,3
233,Santa Clara,2020-11-06,180,6
234,Santa Clara,2020-11-07,256,0
235,Santa Clara,2020-11-08,355,0
236,Santa Clara,2020-11-09,251,3
237,Santa Clara,2020-11-10,224,3
238,Santa Clara,2020-11-11,158,4
239,Santa Clara,2020-11-12,186,0
240,Santa Clara,2020-11-13,348,4
241,Santa Clara,2020-11-14,353,0
242,Santa Clara,2020-11-15,327,0
243,Santa Clara,2020-11-16,384,1
244,Santa Clara,2020-11-17,340,2
245,Santa Clara,2020-11-18,272,6
246,Santa Clara,2020-11-19,345,6
247,Santa Clara,2020-11-20,372,4
248,Santa Clara,2020-11-21,375,0
249,Santa Clara,2020-11-22,256,0
250,Santa Clara,2020-11-23,431,1
251,Santa Clara,2020-11-24,500,3
252,Santa Clara,2020-11-25,468,3
253,Santa Clara,2020-11-26,379,6
254,Santa Clara,2020-11-27,524,0
255,Santa Clara,2020-11-28,766,0
256,Santa Clara,2020-11-29,533,0
257,Santa Clara,2020-11-30,785,0
258,Santa Clara,2020-12-01,378,6
259,Santa Clara,2020-12-02,481,4
260,Santa Clara,2020-12-03,743,9
261,Santa Clara,2020-12-04,844,8
262,Santa Clara,2020-12-05,874,0
263,Santa Clara,2020-12-06,773,0
264,San Mateo,2020-03-18,57,1
265,San Mateo,2020-03-19,1,0
266,San Mateo,2020-03-20,13,0
267,San Mateo,2020-03-21,7,0
268,San Mateo,2020-03-22,4,0
269,San Mateo,2020-03-23,6,0
270,San Mateo,2020-03-24,12,1
271,San Mateo,2020-03-25,11,3
272,San Mateo,2020-03-26,11,0
273,San Mateo,2020-03-27,91,2
274,San Mateo,2020-03-28,18,2
275,San Mateo,2020-03-29,3,3
276,San Mateo,2020-03-30,23,-1
277,San Mateo,2020-03-31,40,1
278,San Mateo,2020-04-01,57,1
279,San Mateo,2020-04-02,69,0
280,San Mateo,2020-04-03,51,0
281,San Mateo,2020-04-04,46,4
282,San Mateo,2020-04-05,8,2
283,San Mateo,2020-04-06,41,1
284,San Mateo,2020-04-07,4,2
285,San Mateo,2020-04-08,35,0
286,San Mateo,2020-04-09,22,1
287,Tuolumne,2020-03-19,0,0
288,San Mateo,2020-04-10,12,-2
289,San Mateo,2020-04-11,20,4
290,San Mateo,2020-04-12,2,0
291,San Mateo,2020-04-13,15,0
292,San Mateo,2020-04-14,2,0
293,San Mateo,2020-04-15,26,0
294,San Mateo,2020-04-16,38,0
295,San Mateo,2020-04-17,23,3
296,San Mateo,2020-04-18,53,0
297,San Mateo,2020-04-19,24,3
298,San Mateo,2020-04-20,45,0
299,San Mateo,2020-04-21,43,0
300,San Mateo,2020-04-22,12,8
301,San Mateo,2020-04-23,25,0
302,San Mateo,2020-04-24,34,4
