date,number_of_fast_food_related_news
2020-03-20,3
2020-04-08,2
2020-06-02,1
2020-08-25,1
2020-10-16,2
2020-10-19,1
2020-07-30,2
2020-07-20,4
2020-07-21,1
2020-05-05,2
2020-09-24,2
2020-07-24,1
2020-05-11,2
2020-06-25,3
2020-04-06,1
2020-10-30,2
2020-08-26,1
2020-10-02,1
2020-09-04,1
2020-03-31,1
2020-11-02,2
2020-11-09,1
2020-07-16,2
2020-08-20,3
2020-03-30,4
2020-10-05,2
2020-10-27,2
2020-05-21,1
2020-04-30,1
2020-05-19,2
2020-11-10,3
2020-07-13,2
2020-08-27,1
2020-08-16,2
2020-07-08,1
2020-08-10,1
2020-10-09,1
2020-10-20,1
2020-10-13,1
2020-08-13,2
2020-03-24,1
2020-11-08,1
2020-04-21,1
2020-11-13,2
2020-05-10,1
2020-06-23,2
2020-05-08,1
2020-04-13,1
2020-04-09,2
2020-04-03,2
2020-03-23,1
2020-06-17,3
2020-08-05,1
2020-04-20,1
2020-09-15,2
2020-04-16,2
2020-05-15,4
2020-07-23,3
2020-09-08,1
2020-06-16,1
2020-06-11,1
2020-06-29,1
2020-04-27,1
2020-04-14,1
2020-03-18,2
2020-10-23,2
2020-05-20,1
2020-05-17,1
2020-08-14,1
2020-06-04,1
2020-06-24,1
2020-10-26,1
2020-10-17,1
2020-09-28,1
2020-09-14,1
2020-08-12,2
2020-07-17,1
2020-06-05,1
2020-05-27,2
2020-04-02,2
2020-09-06,1
2020-03-19,2
2020-04-25,1
2020-11-07,1
2020-09-05,1
2020-09-17,1
2020-04-10,1
2020-03-25,4
2020-09-16,2
2020-03-26,1
2020-06-15,2
2020-08-01,1
2020-05-01,1
2020-10-25,1
2020-11-05,1
2020-08-15,1
2020-11-25,2
2020-10-22,1
2020-09-01,1
2020-05-22,2
2020-07-28,1
2020-05-26,1
2020-11-27,1
2020-11-20,1
2020-10-07,2
2020-08-31,1
2020-09-18,1
2020-07-14,1
2020-04-17,1
2020-04-01,1
2020-03-21,1
2020-04-28,1
2020-04-23,1
2020-11-22,1
2020-10-24,1
2020-09-03,1
2020-08-24,1
2020-08-21,1
2020-08-19,1
2020-08-04,1
2020-06-10,1
2020-05-06,1
2020-05-07,1
2020-08-07,1
2020-06-06,1
2020-06-21,1
