review_date,times,total_rating,average_rating,popularity
2020-03-18,1,5,5.0,4.266365688487585
2020-03-19,1,5,5.0,4.266365688487585
2020-03-20,1,1,1.0,3.599699021820918
2020-03-21,3,13,4.333333333333333,4.226486079759217
2020-03-23,2,3,1.5,3.2464258841234015
2020-03-24,2,6,3.0,3.7464258841234015
2020-03-25,1,4,4.0,4.099699021820919
2020-03-26,3,13,4.333333333333333,4.226486079759217
2020-03-27,4,19,4.75,4.539879608728367
2020-03-28,1,5,5.0,4.266365688487585
2020-03-29,1,5,5.0,4.266365688487585
2020-03-31,1,5,5.0,4.266365688487585
2020-04-04,2,10,5.0,4.4130925507900685
2020-04-05,1,5,5.0,4.266365688487585
2020-04-06,2,9,4.5,4.2464258841234015
2020-04-07,3,11,3.6666666666666665,3.8931527464258844
2020-04-08,1,5,5.0,4.266365688487585
2020-04-09,2,6,3.0,3.7464258841234015
2020-04-10,1,4,4.0,4.099699021820919
2020-04-11,1,5,5.0,4.266365688487585
2020-04-13,3,15,5.0,4.559819413092551
2020-04-15,1,5,5.0,4.266365688487585
2020-04-17,1,5,5.0,4.266365688487585
2020-04-18,1,5,5.0,4.266365688487585
2020-04-21,2,10,5.0,4.4130925507900685
2020-04-23,2,6,3.0,3.7464258841234015
2020-04-25,1,5,5.0,4.266365688487585
2020-04-26,3,11,3.6666666666666665,3.8931527464258844
2020-04-27,1,5,5.0,4.266365688487585
2020-04-30,2,8,4.0,4.0797592174567345
2020-05-04,1,5,5.0,4.266365688487585
2020-05-05,2,8,4.0,4.0797592174567345
2020-05-07,1,5,5.0,4.266365688487585
2020-05-09,1,5,5.0,4.266365688487585
2020-05-10,2,6,3.0,3.7464258841234015
2020-05-11,2,10,5.0,4.4130925507900685
2020-05-12,2,7,3.5,3.913092550790068
2020-05-14,5,17,3.4,3.5199398043641836
2020-05-15,5,21,4.2,4.186606471030851
2020-05-16,1,5,5.0,4.266365688487585
2020-05-18,2,8,4.0,4.0797592174567345
2020-05-19,1,5,5.0,4.266365688487585
2020-05-20,4,16,4.0,4.039879608728367
2020-05-21,1,5,5.0,4.266365688487585
2020-05-22,1,3,3.0,3.9330323551542516
2020-05-23,1,5,5.0,4.266365688487585
2020-05-24,1,5,5.0,4.266365688487585
2020-05-25,5,21,4.2,4.186606471030851
2020-05-26,3,12,4.0,4.059819413092551
2020-05-28,5,19,3.8,3.8532731376975167
2020-05-30,1,5,5.0,4.266365688487585
2020-06-01,1,4,4.0,4.099699021820919
